decile,households,home_ownership_rate,eigen_woning_per_hh,hypotheekschuld_per_hh,financiele_bezittingen_per_hh,totaal_vermogen_per_hh,eigen_woning_among_owners,hypotheek_among_holders,net_housing_per_owner,equity_starter,equity_mover,deployable_equity
1,825.9,0.11272551156314324,54607.09528998668,16951.20474633733,58239.496307058966,133914.51749606492,484400.0,218500.0,334049.4092373792,58239.496307058966,392288.90554443817,275371.6123113554
2,825.9,0.12640755539411552,50490.37413730476,14166.363966581912,27848.407797554184,74464.22084998184,399100.0,149700.0,287356.3218390804,27848.407797554184,315204.7296366346,214630.01699295646
3,825.9,0.25572103160188886,97711.58735924447,24337.086814384307,35960.77006901562,122896.23441094563,382000.0,131900.0,286931.8181818182,35960.77006901562,322892.5882508338,222466.45188719744
4,825.9,0.44024700326916094,169269.88739556848,45283.93267950115,43952.052306574646,186584.33224361303,384500.0,136200.0,281628.1628162816,43952.052306574646,325580.21512285626,227010.3581371577
5,825.9,0.5707712798159583,223755.90265165275,71437.2200024216,51216.85434071922,228720.18404165155,392000.0,154200.0,266864.65846414934,51216.85434071922,318081.5128048686,224678.8823424163
6,825.9,0.696331274972757,282600.7991282238,101828.30851192639,58602.7364087662,275093.83702627436,405800.0,172200.0,259607.02486524082,58602.7364087662,318209.76127400703,227347.30257117274
7,825.9,0.7810872987044437,334665.21370625985,127012.95556362756,68289.13912095895,319893.4495701659,428400.0,189100.0,265850.25577429857,68289.13912095895,334139.39489525754,241091.80537425305
8,825.9,0.827945271824676,379222.6661823465,151834.3625136215,80881.46264680954,370141.6636396658,457900.0,209400.0,274641.70810178417,80881.46264680954,355523.1707485937,259398.57291296925
9,825.9,0.874318924809299,438794.042862332,179319.53020946847,102675.86874924325,459377.64862574165,502000.0,233100.0,296773.3000969395,102675.86874924325,399449.16884618276,295578.51381225395
10,825.9,0.9142753359970941,609395.810630827,245792.46882189126,220607.82177019012,1163942.3659038625,666600.0,318900.0,397695.66944775527,220607.82177019012,618303.4912179454,479110.00691123103
