listing_id,price_num,size_num,bedrooms,nr_rooms,luxury_score,price_per_m2,size_band,postal_code_clean,pc4,postal_district,zone,is_canal_belt,neighborhood,city,contribution_vve_num,year_of_construction_num,energy_label
0,275000.0,40.0,1.0,2.0,0.0,6875.0,XS,1102 ZA,1102.0,110,zuidoost,False,Venserpolder-Oost,AMSTERDAM,105.46,1984.0,A
1,435000.0,48.0,1.0,2.0,0.0,9062.5,XS,1075 RV,1075.0,107,zuid,False,Schinkelbuurt-Zuid,AMSTERDAM,254.0,1915.0,D
2,400000.0,50.0,1.0,2.0,0.0,8000.0,XS,1091 ZB,1091.0,109,oost,False,Transvaalbuurt-West,AMSTERDAM,108.7,1925.0,B
3,499000.0,99.0,3.0,5.0,1.0,5040.404040404041,L,1106 DV,1106.0,110,zuidoost,False,Gein 1,AMSTERDAM,,2026.0,A++++
4,543350.0,114.0,3.0,4.0,1.0,4766.228070175439,XL,1103 AM,1103.0,110,zuidoost,False,E-buurt,AMSTERDAM,,2026.0,N/A
5,220000.0,26.0,1.0,1.0,1.0,8461.538461538461,XS,1069 LH,1069.0,106,nieuw_west,False,Zuidwestkwadrant-Zuid,AMSTERDAM,,1965.0,F
6,575000.0,121.0,4.0,5.0,1.0,4752.06611570248,XL,1066 DG,1066.0,106,nieuw_west,False,Nieuw-Sloten-Zuidwest,AMSTERDAM,262.0,1993.0,C
7,450000.0,48.0,1.0,2.0,0.0,9375.0,XS,1054 MS,1054.0,105,west,False,Cremerbuurt-Oost,AMSTERDAM,131.67,1901.0,D
8,735000.0,79.0,2.0,3.0,0.0,9303.79746835443,M,1018 CA,1018.0,101,centrum,False,Oostenburg,AMSTERDAM,0.0,2021.0,A+++
9,375000.0,89.0,3.0,4.0,0.0,4213.483146067416,L,1024 LD,1024.0,102,noord,False,Werengouw-Zuid,AMSTERDAM,158.51,1968.0,D
10,1185000.0,127.0,4.0,5.0,0.0,9330.708661417322,XL,1053 SE,1053.0,105,west,False,Lootsbuurt,AMSTERDAM,150.0,1914.0,A+
12,296557.0,50.0,1.0,2.0,1.0,5931.14,XS,1032 KW,1032.0,103,noord,False,Klaprozenbuurt,AMSTERDAM,,2025.0,N/A
13,565000.0,60.0,1.0,2.0,1.0,9416.666666666666,S,1031 HX,1031.0,103,noord,False,Buiksloterham-Zuid,AMSTERDAM,,2021.0,A+++
14,395000.0,50.0,1.0,2.0,1.0,7900.0,XS,1062 HE,1062.0,106,nieuw_west,False,Schipluidenbuurt,AMSTERDAM,,2026.0,A++++
16,770000.0,76.0,2.0,3.0,1.0,10131.578947368422,M,1096 AM,1096.0,109,oost,False,De Omval,AMSTERDAM,,2021.0,A+
17,1150000.0,172.0,2.0,5.0,0.0,6686.046511627907,XL,1055 MB,1055.0,105,west,False,Bosleeuw,AMSTERDAM,,1922.0,A+
