listing_id,segment_rank
0,1
1,2
2,2
3,3
4,3
5,1
6,6
7,2
8,5
9,4
10,7
12,2
13,5
14,4
16,6
17,7
18,7
20,4
21,5
22,4
23,2
24,2
25,7
26,5
27,5
28,3
29,4
30,4
31,5
32,3
33,6
36,2
37,5
38,8
39,2
40,5
41,5
42,6
43,1
44,5
45,2
46,6
47,2
48,6
49,7
50,7
51,6
52,5
53,5
55,1
56,6
58,4
59,2
60,4
61,1
63,5
64,2
66,2
67,7
68,7
70,5
72,4
73,2
74,4
75,7
76,4
79,2
80,2
81,4
82,2
84,2
85,6
86,2
87,4
88,5
89,2
90,2
91,5
92,3
94,6
95,4
96,3
98,2
99,2
100,5
101,7
103,4
104,6
105,6
108,3
109,8
111,1
112,2
114,2
116,2
117,4
118,6
119,7
120,4
121,4
122,5
123,2
124,1
127,5
128,3
130,3
131,5
132,4
133,8
134,7
135,4
136,3
138,2
140,5
141,5
142,2
143,6
144,2
145,4
148,4
149,4
150,2
151,3
152,5
153,2
154,5
155,3
156,5
157,3
159,8
160,7
161,6
162,2
163,3
164,5
165,6
166,6
167,2
168,5
169,3
170,4
171,2
172,6
173,3
174,4
175,4
176,4
177,2
178,5
182,7
184,1
186,2
187,2
188,3
190,4
191,3
192,6
193,4
194,5
196,7
197,1
198,2
199,2
200,3
201,3
202,2
203,4
204,6
205,2
206,5
207,1
208,7
209,6
210,5
212,6
213,3
214,8
216,4
217,3
218,4
220,2
223,3
224,3
225,3
226,7
227,1
228,3
229,4
230,3
232,7
233,5
234,5
235,2
236,4
237,6
238,4
239,5
240,6
241,6
243,6
244,7
245,6
246,5
247,4
249,4
250,5
252,5
254,2
255,3
256,3
257,3
258,4
259,1
260,5
263,2
266,6
267,2
268,1
269,5
270,7
271,2
272,5
273,6
274,4
275,5
276,2
277,6
278,1
279,3
281,2
282,4
283,2
284,4
286,3
287,2
289,1
290,1
291,3
292,4
293,7
294,2
295,8
296,5
297,2
298,5
299,2
301,4
302,6
303,2
304,6
305,4
306,4
307,7
308,6
309,4
310,5
311,6
312,3
313,7
314,7
315,4
317,5
318,5
319,2
321,7
322,2
323,1
324,5
325,4
326,4
327,1
328,4
329,6
331,5
335,2
336,3
338,3
339,5
340,2
341,6
342,2
343,4
344,7
345,2
346,8
347,3
348,4
349,2
350,5
354,7
355,3
356,5
357,1
358,2
360,5
362,1
365,7
367,5
368,1
369,5
370,6
371,2
372,4
374,2
375,4
376,2
377,5
379,3
380,2
381,8
382,7
383,2
384,2
385,6
386,1
387,5
388,2
389,1
390,8
391,5
392,7
393,2
395,6
396,4
397,4
398,2
399,6
400,5
402,7
403,3
404,4
405,5
406,6
407,5
408,2
409,8
410,7
411,2
412,4
413,6
414,4
416,2
417,6
418,4
419,2
421,2
422,8
423,2
424,3
425,2
426,4
427,2
429,6
430,6
431,2
432,3
433,1
434,3
436,2
437,3
438,2
439,5
441,7
442,4
443,2
444,5
445,2
446,3
448,6
449,4
450,5
452,6
453,1
454,2
455,8
456,4
457,5
460,6
461,3
462,4
463,6
464,5
465,4
466,6
467,3
468,7
469,2
470,7
471,7
472,6
474,6
476,4
477,6
479,8
481,3
482,3
485,5
486,2
488,3
490,7
493,5
494,4
496,1
497,2
498,3
499,7
500,4
501,5
502,3
503,1
504,7
505,3
506,7
508,8
509,7
510,6
511,5
512,1
513,2
515,6
517,4
519,6
521,2
522,2
524,6
526,5
527,7
528,5
529,3
530,3
531,3
532,5
534,5
535,5
536,4
537,2
538,1
539,5
542,7
543,5
544,5
545,4
546,3
547,3
548,5
549,7
550,5
551,1
553,4
554,4
555,2
556,5
557,2
558,1
559,6
560,7
562,2
563,2
564,3
566,4
567,3
568,3
569,6
570,8
571,3
572,7
573,4
574,4
576,3
579,3
580,5
581,2
583,5
584,4
585,5
588,2
589,2
590,2
591,2
592,4
593,6
594,2
595,4
596,2
597,5
598,5
599,6
601,2
602,7
603,5
604,2
606,3
607,6
609,2
610,4
611,7
612,5
613,7
614,7
615,6
616,4
617,3
618,4
619,5
620,2
621,1
622,7
623,4
624,3
625,7
626,5
627,2
629,6
630,4
631,5
632,4
633,5
634,2
637,3
638,4
639,2
640,3
641,5
642,3
644,4
645,6
646,2
647,4
648,4
650,5
651,5
652,3
653,5
654,5
655,7
656,7
657,4
658,1
659,5
660,3
661,4
662,4
664,4
665,3
667,2
668,5
671,5
672,4
673,4
674,2
675,1
676,5
678,6
679,2
680,3
682,5
684,7
685,3
686,7
687,5
688,6
689,6
691,4
692,5
693,7
694,4
695,2
696,5
697,2
698,1
699,5
701,4
704,6
705,7
706,7
707,4
709,6
710,5
711,7
712,4
713,3
714,4
715,4
716,3
717,3
720,2
722,3
723,4
724,3
726,3
727,4
728,3
731,4
732,5
733,2
735,4
736,4
737,5
738,3
740,2
741,5
742,5
743,3
744,3
745,7
746,6
747,6
749,4
750,2
751,5
752,5
753,2
754,3
755,4
756,3
757,2
758,5
759,3
760,7
761,5
762,6
764,6
765,1
766,5
767,2
768,1
769,5
770,5
771,3
772,2
773,5
774,6
776,6
777,6
778,3
779,5
780,5
781,3
782,4
783,2
784,6
785,5
786,2
788,2
790,2
791,3
794,6
796,4
797,1
798,6
799,7
801,5
802,2
803,7
805,5
806,2
808,5
809,4
810,1
811,2
813,6
814,5
815,5
816,3
817,2
819,4
820,4
821,2
822,7
823,2
824,4
825,3
826,5
827,3
828,6
830,6
831,7
833,5
834,3
835,5
836,7
837,6
838,1
839,2
840,2
841,3
843,5
844,2
845,1
846,6
848,8
851,3
852,3
853,5
854,6
855,8
856,5
858,2
860,5
861,4
862,6
863,7
864,3
866,2
867,4
869,7
871,5
872,5
873,8
874,7
875,3
876,4
877,3
878,2
879,5
880,2
881,5
882,5
883,4
884,5
885,8
886,3
887,2
889,2
890,2
891,7
892,4
893,1
895,1
896,4
897,1
898,5
899,6
900,5
902,3
903,2
904,5
905,6
906,4
908,7
909,3
912,3
914,4
915,4
917,8
918,6
919,4
920,2
921,6
922,1
924,2
925,2
926,1
927,4
928,7
929,5
930,6
931,6
933,4
934,4
935,5
936,5
937,4
938,5
940,6
941,2
942,5
944,7
945,5
946,4
947,2
948,2
949,7
951,5
952,3
953,2
954,5
955,5
956,5
957,4
958,6
959,2
961,2
962,4
963,5
965,8
966,2
967,6
968,7
969,3
970,4
971,3
972,3
973,1
974,1
975,2
976,8
980,4
981,6
983,7
984,7
985,2
989,4
991,1
993,5
994,5
995,5
996,7
997,5
999,4
1000,4
1001,3
1002,6
1004,7
1005,5
1006,7
1007,2
1008,5
1009,3
1010,5
1011,6
1012,2
1014,1
1015,7
1016,6
1017,7
1020,4
1022,4
1023,7
1024,2
1025,5
1026,2
1028,5
1029,4
1030,6
1032,3
1033,2
1034,4
1036,4
1037,4
1038,5
1040,2
1043,7
1044,3
1046,6
1047,2
1048,6
1050,7
1051,5
1052,5
1053,6
1054,2
1056,5
1057,1
1058,1
1059,6
1060,3
1062,5
1063,7
1064,4
1065,5
1066,5
1067,5
1068,7
1069,4
1070,2
1071,5
1074,3
1075,4
1077,6
1078,6
1079,5
1080,3
1081,4
1082,4
1083,2
1084,7
1086,5
1087,6
1088,6
1089,1
1090,5
1091,4
1092,5
1093,6
1094,2
1096,5
1097,5
1099,5
1100,4
1101,4
1102,3
1103,7
1104,7
1106,2
1107,6
1108,6
1110,4
1112,2
1114,2
1117,2
1118,7
1120,2
1121,3
1122,6
1123,3
1125,5
1126,7
1127,4
1128,2
1129,4
1132,2
1134,1
1135,1
1136,3
1137,6
1138,6
1139,8
1141,5
1142,5
1143,2
1145,1
1146,2
1147,4
1148,4
1149,5
1150,3
1151,5
1152,1
1153,2
1154,4
1155,3
