arrivals_per_day,time_costs,strategy,calibration_ok,median_multiple,mean_p_sale,mean_days,share_at_grid_bound
40,none,revenue_max,True,1.175,0.6571524630932382,53.85548837789446,0.19
40,none,speed_max,True,0.95,0.725005884974841,47.01716571328129,0.0
40,none,balanced,True,1.175,0.6571524630932382,53.85548837789446,0.19
40,discount only,revenue_max,True,1.175,0.6571524630932382,53.85548837789446,0.19
40,discount only,speed_max,True,0.95,0.725005884974841,47.01716571328129,0.0
40,discount only,balanced,True,1.175,0.6573298650787237,53.840013341547376,0.1875
40,discount + VvE,revenue_max,True,1.175,0.6571524630932382,53.85548837789446,0.19
40,discount + VvE,speed_max,True,0.95,0.725005884974841,47.01716571328129,0.0
40,discount + VvE,balanced,True,1.175,0.6573463293111249,53.83863176785299,0.1875
40,discount + VvE + decay,revenue_max,False,0.9675,0.49583404351812194,57.96329907394713,0.1975
40,discount + VvE + decay,speed_max,False,0.95,0.4894703453271636,58.13285519049573,0.0
40,discount + VvE + decay,balanced,False,0.9650000000000001,0.49632167756091844,57.92726869134507,0.1975
40,heavy decay,revenue_max,False,0.855,0.3752621922828533,62.93423776905518,0.3075
40,heavy decay,speed_max,False,0.95,0.3345542174816268,65.95129515274662,0.0
40,heavy decay,balanced,False,0.855,0.3753051676893419,62.93092164303831,0.3075
80,none,revenue_max,True,1.09,0.8280371271633065,39.653941416287616,0.15
80,none,speed_max,True,0.95,0.8477586551572507,31.63154127208163,0.0
80,none,balanced,True,1.09,0.8280371271633065,39.653941416287616,0.15
80,discount only,revenue_max,True,1.09,0.8280371271633065,39.653941416287616,0.15
80,discount only,speed_max,True,0.95,0.8477586551572507,31.63154127208163,0.0
80,discount only,balanced,True,1.09,0.8290898404126665,39.53484073741308,0.1525
80,discount + VvE,revenue_max,True,1.09,0.8280371271633065,39.653941416287616,0.15
80,discount + VvE,speed_max,True,0.95,0.8477586551572507,31.63154127208163,0.0
80,discount + VvE,balanced,True,1.09,0.8291028953554723,39.533376477552956,0.1525
80,discount + VvE + decay,revenue_max,False,1.125,0.6311530442547428,47.56270775233114,0.1675
80,discount + VvE + decay,speed_max,False,0.95,0.6860658075829335,42.13724480814279,0.0
80,discount + VvE + decay,balanced,False,1.125,0.6313279773807964,47.54712432849072,0.1675
80,heavy decay,revenue_max,False,0.995,0.524909865819401,51.3573857672809,0.205
80,heavy decay,speed_max,False,0.95,0.5278078780383959,50.85415990443536,0.0
80,heavy decay,balanced,False,0.995,0.5249400572094267,51.35490106967863,0.205
260,none,revenue_max,True,1.0575,0.9336321261523851,25.223560917855767,0.075
260,none,speed_max,True,0.95,0.8919713943791665,17.982222091457764,0.0
260,none,balanced,True,1.0575,0.9336321261523851,25.223560917855767,0.075
260,discount only,revenue_max,True,1.0575,0.9336321261523851,25.223560917855767,0.075
260,discount only,speed_max,True,0.95,0.8919713943791665,17.982222091457764,0.0
260,discount only,balanced,True,1.055,0.9342561145209816,25.005832410578968,0.075
260,discount + VvE,revenue_max,True,1.0575,0.9336321261523851,25.223560917855767,0.075
260,discount + VvE,speed_max,True,0.95,0.8919713943791665,17.982222091457764,0.0
260,discount + VvE,balanced,True,1.055,0.934265317733934,25.00168810094848,0.075
260,discount + VvE + decay,revenue_max,True,1.08,0.8773669511074074,24.709972459567506,0.125
260,discount + VvE + decay,speed_max,True,0.95,0.8747110999366694,19.55551202588354,0.0
260,discount + VvE + decay,balanced,True,1.08,0.8778781309510338,24.631112855438197,0.125
260,heavy decay,revenue_max,True,1.1124999999999998,0.7793001660175443,29.552472743387842,0.13
260,heavy decay,speed_max,True,0.95,0.8169847906855658,23.958324300948014,0.0
260,heavy decay,balanced,True,1.1124999999999998,0.7798275000315976,29.49696191789875,0.13
