equity_multiplier,target_elasticity,achieved_elasticity,calibration_ok,wtp_dispersion,median_optimal_multiple,share_at_grid_bound,share_at_floor,share_at_ceiling,mean_p_sale,mean_days,median_optimal_price
0.0,-0.25,-0.45863522794045886,False,3.0,1.32,0.1175,0.0775,0.04,0.8243086442960594,41.57600963854429,696143.0610055784
0.0,-0.45,-0.45863522794045886,True,3.0,1.32,0.1175,0.0775,0.04,0.8243086442960594,41.57600963854429,696143.0610055784
0.0,-0.65,-0.6501198232014793,True,0.46842773437499996,1.1400000000000001,0.0625,0.0625,0.0,0.8813770206169673,35.47537545550304,612141.6920894745
0.0,-0.85,-0.8499277034739068,True,0.25235351562499997,1.06,0.0675,0.0675,0.0,0.9028629162243366,32.5069010718513,578545.8285675258
0.0,-1.05,-1.0495961936842404,True,0.17424560546875,1.04,0.06,0.06,0.0,0.9119568361930581,30.865267338638933,566173.5969015465
0.5,-0.25,-0.2497783502509194,True,0.52390625,1.3399999999999999,0.03,0.03,0.0,0.8890323635142223,34.98594990603248,710349.4968728595
0.5,-0.45,-0.44963982773807426,True,0.188115234375,1.12,0.025,0.025,0.0,0.9303277081091753,28.89723814887236,612417.6567500001
0.5,-0.65,-0.64988825177088,True,0.116942138671875,1.06,0.0225,0.0225,0.0,0.9395536081461893,26.647972413331352,579832.1283735876
0.5,-0.85,-0.8494922747428296,True,0.0861004638671875,1.04,0.0225,0.0225,0.0,0.9426756041958149,25.48677135546453,568973.5772254937
0.5,-1.05,-1.05000287287957,True,0.068763427734375,1.04,0.0225,0.0225,0.0,0.943987250942044,24.569338791041318,562640.1496913282
1.0,-0.25,-0.25031214584800315,True,0.22607421875,1.2000000000000002,0.005,0.005,0.0,0.9392738096485216,28.370724348775138,644373.1727340692
1.0,-0.45,-0.449740708806213,True,0.11183227539062501,1.08,0.005,0.005,0.0,0.9547452469053735,24.886567184565397,593263.9008055555
1.0,-0.65,-0.6502015222678416,True,0.07588073730468749,1.06,0.005,0.005,0.0,0.9566900845923092,23.417101538323138,579295.9571374764
1.0,-0.85,-0.8501422759624098,True,0.0583612060546875,1.04,0.005,0.005,0.0,0.9593544930429752,22.085642238296455,569305.6434974854
1.0,-1.05,-1.0500780861826673,True,0.047958984375,1.04,0.005,0.005,0.0,0.9598092132431738,21.511814492624396,565964.1333677617
1.5,-0.25,-0.24901303533286454,True,0.17643554687500002,1.1800000000000002,0.005,0.005,0.0,0.951724937103403,26.102829889919608,643987.8257108734
1.5,-0.45,-0.44967268162519014,True,0.08664794921874999,1.08,0.0025,0.0025,0.0,0.9618877061479866,22.89859480170907,590949.2563996003
1.5,-0.65,-0.6508227997491937,True,0.059091186523437506,1.04,0.0025,0.0025,0.0,0.9647198155474124,21.100227819474156,579295.9571374764
1.5,-0.85,-0.8509453284493704,True,0.04576904296874999,1.04,0.0025,0.0025,0.0,0.9662883793325128,20.228141683154686,568960.0092823012
1.5,-1.05,-1.0494477301367855,True,0.0379217529296875,1.04,0.0025,0.0025,0.0,0.9679347422037,19.101561073447844,567272.6357705394
2.5,-0.25,-0.24908775701883756,True,0.094677734375,1.1,0.005,0.005,0.0,0.9692713271970116,22.28352730235251,610366.7262500001
2.5,-0.45,-0.44963487321251006,True,0.05434631347656249,1.06,0.005,0.005,0.0,0.9727572394833126,19.81260773608739,579832.1283735876
2.5,-0.65,-0.6504677387955362,True,0.0393817138671875,1.04,0.005,0.005,0.0,0.9747908671165767,18.266081396179178,568960.0092823012
2.5,-0.85,-0.8491620037150069,True,0.03162567138671875,1.04,0.005,0.005,0.0,0.975595131875296,17.515552907624034,563306.815130597
2.5,-1.05,-1.0497650904752622,True,0.026789550781249998,1.02,0.005,0.005,0.0,0.9755402430311579,16.747580830549182,559590.2452754239
